見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,特別展「動き出す!絵画－モネ、ゴッホ、ピカソらと大正の若き洋画家たち　,展示,～1月15日,,,,"一般1,000円　学生800円",,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690,073-436-1337,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,企画展「泉茂－ハンサムな絵のつくりかた」,展示,1月27日～3月26日,,,,一般510円 学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690,073-436-1337,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,コレクション展 2017－春特集「群像－交錯する声」,展示,1月27日～5月7日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670　,073-423-2467,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,企画展「和歌浦・?風（びょうぶ）・名所」,展示,～1月15日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670　,073-423-2467,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,企画展「有田川中流域の仏教文化－重要文化財・安楽寺多宝小塔修理完成記念－」,展示,1月21日?3月5日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,冬期企画展「きのくにの弥生文化～後期社会の変革～」,展示,1月14日～2月19日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,フカミンのおしゃべり考古学⑤,イベント,1月20日13:30～15:30,,18歳以上,30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,風土記講座④「学芸員講座」,イベント,2月5日10:00～15:30,,小学生以上,30人（先着順）,,1月20日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,古代人の米づくり(3)土器炊飯,イベント,2月11日13:30～15:30,,小学生,30人（先着順）,300円,1月27日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,企画展「教授を魅了した大地の結晶 北川隆司コレクション200選」,展示,1月14日～2月28日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
